id,name
890,Bambalang
891,Bulgebi
892,Bomu
893,Muinane
894,Bilma Kanuri
895,Biao Mon
896,Somba-Siawari
897,Bum
898,Bomwali
899,Baimak
900,Baramu
901,Bonerate
902,Bookan
903,Bontok
904,Banda (Indonesia)
905,Bintauna
906,Masiwang
907,Benga
908,Bangi
909,Eastern Tawbuid
910,Bierebo
911,Boon
912,Batanga
913,Bunun
914,Bantoanon
915,Bola
916,Bantik
917,Butmas-Tur
918,Bundeli
919,Bentong
920,Bonerif
921,Bisis
922,Bangubangu
923,Bintulu
924,Beezen
925,Bora
926,Aweer
927,Tibetan
928,Mundabli
929,Bolon
930,Bamako Sign Language
931,Boma
932,Barbareño
933,Anjam
934,Bonjo
935,Bole
936,Berom
937,Bine
938,Tiemacèwè Bozo
939,Bonkiman
940,Bogaya
941,Borôro
942,Bosnian
943,Bongo
944,Bondei
945,Tuwuli
946,Rema
947,Buamu
948,Bodo (Central African Republic)
949,Tiéyaxo Bozo
950,Daakaka
951,Barbacoas
952,Banda-Banda
953,Bonggo
954,Botlikh
955,Bagupi
956,Binji
957,Orowe
958,Broome Pearling Lugger Pidgin
959,Biyom
960,Dzao Min
961,Anasi
962,Kaure
963,Banda Malay
964,Koronadal Blaan
965,Sarangani Blaan
966,Barrow Point
967,Bongu
968,Bian Marind
969,Bo (Papua New Guinea)
970,Palya Bareli
971,Bishnupriya
972,Bilba
973,Tchumbuli
974,Bagusa
975,Boko (Benin)
976,Bung
977,Baga Kaloum
978,Bago-Kusuntu
979,Baima
980,Bakhtiari
981,Bandial
982,Banda-Mbrès
983,Bilakura
984,Wumboko
985,Bulgarian Sign Language
986,Balo
987,Busa
988,Biritai
989,Burusu
990,Bosngun
991,Bamukumbit
992,Boguru
993,Koro Wachi
994,Buru (Nigeria)
995,Baangi
996,Bengkala Sign Language
997,Bakaka
998,Braj
999,Lave
1000,Berbice Creole Dutch
1001,Baraamu
1002,Breton
1003,Bera
1004,Baure
1005,Brahui
1006,Mokpwe
1007,Bieria
1008,Birked
1009,Birwa
1010,Barambu
1011,Boruca
1012,Brokkat
1013,Barapasi
1014,Breri
1015,Birao
1016,Baras
1017,Bitare
1018,Eastern Bru
1019,Western Bru
1020,Bellari
1021,Bodo (India)
1022,Burui
1023,Bilbil
1024,Abinomn
1025,Brunei Bisaya
1026,Bassari
1027,Wushi
1028,Bauchi
1029,Bashkardi
1030,Kati
1031,Bassossi
1032,Bangwinji
1033,Burushaski
1034,Basa-Gumna
1035,Busami
1036,Barasana-Eduria
1037,Buso
1038,Baga Sitemu
1039,Bassa
1040,Bassa-Kontagora
1041,Akoose
1042,Basketo
1043,Bahonsuai
1044,Baga Sobané
1045,Baiso
1046,Yangkam
1047,Sabah Bisaya
1048,Bata
1049,Bati (Cameroon)
1050,Batak Dairi
1051,Gamo-Ningi
1052,Birgit
1053,Gagnoa Bété
1054,Biatah Bidayuh
1055,Burate
1056,Bacanese Malay
1057,Batak Mandailing
1058,Ratagnon
1059,Rinconada Bikol
1060,Budibud
1061,Batek
1062,Baetora
1063,Batak Simalungun
1064,Bete-Bendi
1065,Batu
1066,Bateri
1067,Butuanon
1068,Batak Karo
1069,Bobot
1070,Batak Alas-Kluet
1071,Buriat
1072,Bua
1073,Bushi
1074,Ntcham
1075,Beothuk
1076,Bushoong
1077,Buginese
1078,Younuo Bunu
1079,Bongili
1080,Basa-Gurmana
1081,Bugawac
1082,Bulgarian
1083,Bulu (Cameroon)
1084,Sherbro
1085,Terei
1086,Busoa
1087,Brem
1088,Bokobaru
1089,Bungain
1090,Budu
1091,Bun
1092,Bubi
1093,Boghom
1094,Bullom So
1095,Bukwen
1096,Barein
1097,Bube
1098,Baelelea
