id,feature_class,feature_code,name,description
237,R,RDCUT,road cut,an excavation cut through a hill or ridge for a road
238,R,RDJCT,road junction,a place where two or more roads join
239,R,RJCT,railroad junction,a place where two or more railroad tracks join
240,R,RR,railroad,a permanent twin steel-rail track on which freight and passenger cars move long distances
241,R,RRQ,abandoned railroad,
242,R,RTE,caravan route,the route taken by caravans
243,R,RYD,railroad yard,"a system of tracks used for the making up of trains, and switching and storing freight cars"
244,R,ST,street,a paved urban thoroughfare
245,R,STKR,stock route,a route taken by livestock herds
246,R,TNL,tunnel,a subterranean passageway for transportation
247,R,TNLN,natural tunnel,a cave that is open at both ends
248,R,TNLRD,road tunnel,a tunnel through which a road passes
249,R,TNLRR,railroad tunnel,a tunnel through which a railroad passes
250,R,TNLS,tunnels,subterranean passageways for transportation
251,R,TRL,trail,"a path, track, or route used by pedestrians, animals, or off-road vehicles"
252,S,ADMF,administrative facility,a government building
253,S,AGRF,agricultural facility,a building and/or tract of land used for improving agriculture
254,S,AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated"
255,S,AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo
256,S,AIRH,heliport,a place where helicopters land and take off
257,S,AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo"
258,S,AIRQ,abandoned airfield,
259,S,AIRT,terminal,airport facilities for the handling of freight and passengers
260,S,AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space
261,S,ANS,archaeological/prehistoric site,"a place where archeological remains, old structures, or cultural artifacts are located"
262,S,AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture"
263,S,ARCH,arch,a natural or man-made structure in the form of an arch
264,S,ARCHV,archive,a place or institution where documents are preserved
265,S,ART,piece of art,"a piece of art, like a sculpture, painting. In contrast to monument (MNMT) it is not commemorative."
266,S,ASTR,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies
267,S,ASYL,asylum,a facility where the insane are cared for and protected
268,S,ATHF,athletic field,"a tract of land used for playing team sports, and athletic track and field events"
269,S,ATM,automatic teller machine,"An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services."
270,S,BANK,bank,"A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged."
271,S,BCN,beacon,a fixed artificial navigation mark
272,S,BDG,bridge,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across"
273,S,BDGQ,ruined bridge,a destroyed or decayed bridge which is no longer functional
274,S,BLDA,apartment building,a building containing several individual apartments
275,S,BLDG,building(s),"a structure built for permanent use, as a house, factory, etc."
276,S,BLDO,office building,commercial building where business and/or services are conducted
277,S,BP,boundary marker,a fixture marking a point along a boundary
278,S,BRKS,barracks,a building for lodging military personnel
279,S,BRKW,breakwater,a structure erected to break the force of waves at the entrance to a harbor or port
280,S,BSTN,baling station,a facility for baling agricultural products
281,S,BTYD,boatyard,"a waterside facility for servicing, repairing, and building small vessels"
282,S,BUR,burial cave(s),a cave used for human burials
283,S,BUSTN,bus station,"a facility comprising ticket office, platforms, etc. for loading and unloading passengers"
284,S,BUSTP,bus stop,a place lacking station facilities
285,S,CARN,cairn,a heap of stones erected as a landmark or for other purposes
